ymin	ymax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
2001.5	2002.5	2002 1966	année	2002	année	1966	1	2150
2002.5	2003.5	2003 1966	année	2003	année	1966	1	2201
2003.5	2004.5	2004 1966	année	2004	année	1966	1	2252
2004.5	2005.5	2005 1966	année	2005	année	1966	1	2303
2005.5	2006.5	2006 1966	année	2006	année	1966	1	2354
2006.5	2007.5	2007 1966	année	2007	année	1966	1	2405
2007.5	2008.5	2008 1966	année	2008	année	1966	1	2456
2008.5	2009.5	2009 1966	année	2009	année	1966	1	2507
2009.5	2010.5	2010 1966	année	2010	année	1966	1	2558
2010.5	2011.5	2011 1966	année	2011	année	1966	1	2609
1959.5	1960.5	1960 1967	année	1960	année	1967	1	8
1960.5	1961.5	1961 1967	année	1961	année	1967	1	59
1961.5	1962.5	1962 1967	année	1962	année	1967	1	110
1962.5	1963.5	1963 1967	année	1963	année	1967	1	161
1963.5	1964.5	1964 1967	année	1964	année	1967	1	212
1964.5	1965.5	1965 1967	année	1965	année	1967	1	263
1965.5	1966.5	1966 1967	année	1966	année	1967	1	314
1966.5	1967.5	1	année	1967	année	1967	1	1
1967.5	1968.5	1968 1967	année	1968	année	1967	1	417
1968.5	1969.5	1969 1967	année	1969	année	1967	1	468
1969.5	1970.5	1970 1967	année	1970	année	1967	1	519
1970.5	1971.5	1971 1967	année	1971	année	1967	1	570
1971.5	1972.5	1972 1967	année	1972	année	1967	1	621
1972.5	1973.5	1973 1967	année	1973	année	1967	1	672
1973.5	1974.5	1974 1967	année	1974	année	1967	1	723
1974.5	1975.5	1975 1967	année	1975	année	1967	1	774
1975.5	1976.5	1976 1967	année	1976	année	1967	1	825
1976.5	1977.5	1977 1967	année	1977	année	1967	1	876
1977.5	1978.5	1978 1967	année	1978	année	1967	1	927
1978.5	1979.5	1979 1967	année	1979	année	1967	1	978
1979.5	1980.5	1980 1967	année	1980	année	1967	1	1029
1980.5	1981.5	1981 1967	année	1981	année	1967	1	1080
1981.5	1982.5	1982 1967	année	1982	année	1967	1	1131
1982.5	1983.5	1983 1967	année	1983	année	1967	1	1182
1983.5	1984.5	1984 1967	année	1984	année	1967	1	1233
1984.5	1985.5	1985 1967	année	1985	année	1967	1	1284
1985.5	1986.5	1986 1967	année	1986	année	1967	1	1335
1986.5	1987.5	1987 1967	année	1987	année	1967	1	1386
1987.5	1988.5	1988 1967	année	1988	année	1967	1	1437
1988.5	1989.5	1989 1967	année	1989	année	1967	1	1488
1989.5	1990.5	1990 1967	année	1990	année	1967	1	1539
1990.5	1991.5	1991 1967	année	1991	année	1967	1	1590
1991.5	1992.5	1992 1967	année	1992	année	1967	1	1641
1992.5	1993.5	1993 1967	année	1993	année	1967	1	1692
